			Length of Life		Quality of Life		Health Behaviors		Clinical Care		Social & Economic Factors		Physical Environment	
37065	North Carolina	Edgecombe	0.90	96	0.84	98	0.33	94	0.04	60	0.66	99	0.02	60
37067	North Carolina	Forsyth	-0.40	22	0.08	67	0.04	59	-0.14	10	-0.04	55	-0.03	26
37069	North Carolina	Franklin	-0.23	35	0.00	56	0.04	58	0.05	70	-0.08	47	0.07	97
37071	North Carolina	Gaston	0.18	64	0.00	55	-0.02	48	-0.04	37	-0.06	49	0.10	100
37073	North Carolina	Gates	0.27	69	-0.09	46	-0.03	43	0.01	53	-0.14	33	-0.03	25
37075	North Carolina	Graham	-0.34	26	0.18	73	-0.07	37	0.17	92	0.23	83	-0.10	3
37077	North Carolina	Granville	-0.51	14	-0.14	41	0.00	54	-0.02	41	-0.18	23	0.09	99
37079	North Carolina	Greene	-0.58	10	0.40	84	0.16	83	0.18	93	0.15	76	0.02	61
37081	North Carolina	Guilford	-0.42	18	-0.30	23	0.04	61	-0.11	13	-0.14	31	0.05	86
37083	North Carolina	Halifax	0.48	87	0.82	96	0.36	98	0.09	84	0.68	100	0.07	93
37085	North Carolina	Harnett	-0.16	41	0.08	66	0.05	62	0.13	89	-0.05	53	0.04	81
37087	North Carolina	Haywood	-0.06	47	-0.09	47	-0.18	18	-0.09	23	-0.12	37	-0.04	20
37089	North Carolina	Henderson	-0.48	15	-0.58	8	-0.29	7	-0.11	17	-0.31	8	-0.01	37
37091	North Carolina	Hertford	0.09	56	0.62	89	0.33	96	-0.06	29	0.28	87	0.02	59
37093	North Carolina	Hoke	-0.18	38	0.22	75	0.28	93	0.22	96	0.04	63	0.04	77
37095	North Carolina	Hyde	-0.33	27	-0.24	32	0.15	80	0.04	63	0.26	84	-0.14	1
37097	North Carolina	Iredell	-0.32	28	-0.46	13	-0.16	21	-0.08	24	-0.28	13	0.06	90
37099	North Carolina	Jackson	0.02	48	-0.04	51	-0.01	50	0.01	54	-0.13	34	-0.08	8
37101	North Carolina	Johnston	-0.52	13	-0.35	20	-0.04	41	0.05	71	-0.25	14	0.07	92
37103	North Carolina	Jones	-0.23	36	0.01	57	-0.02	46	-0.01	44	0.01	60	0.01	52
37105	North Carolina	Lee	0.41	81	0.07	63	-0.01	51	0.04	65	-0.09	42	0.01	49
37107	North Carolina	Lenoir	0.44	85	0.36	82	0.17	86	0.09	83	0.21	81	-0.01	41
37109	North Carolina	Lincoln	-0.31	31	-0.45	15	-0.11	32	-0.05	32	-0.31	9	0.02	66
37111	North Carolina	McDowell	0.12	61	0.23	76	0.13	73	0.07	79	-0.11	39	-0.08	10
37113	North Carolina	Macon	0.08	55	-0.26	29	-0.15	22	-0.07	26	-0.10	41	-0.07	13
37115	North Carolina	Madison	-0.35	25	-0.30	22	-0.07	36	-0.01	46	-0.09	43	-0.08	9
37117	North Carolina	Martin	0.35	78	0.66	91	0.13	74	0.04	62	0.27	86	-0.03	24
37119	North Carolina	Mecklenburg	-0.87	5	-0.61	7	-0.21	15	-0.11	14	-0.21	19	0.01	53
37121	North Carolina	Mitchell	0.11	60	-0.04	50	-0.24	11	-0.05	35	0.01	59	-0.05	16
37123	North Carolina	Montgomery	-0.40	21	0.24	78	0.04	60	0.07	77	0.02	62	0.01	57
37125	North Carolina	Moore	-0.30	32	-0.35	21	-0.20	17	-0.20	5	-0.29	12	0.05	82
37127	North Carolina	Nash	0.41	82	-0.01	54	0.08	68	-0.01	49	0.18	79	0.01	50
37129	North Carolina	New Hanover	-0.37	24	-0.38	17	-0.16	20	-0.20	6	-0.15	28	-0.01	44
37131	North Carolina	Northampton	0.81	93	0.81	95	0.15	77	0.04	64	0.56	96	0.01	58
37133	North Carolina	Onslow	-0.12	44	-0.47	12	0.17	85	-0.06	31	-0.23	18	-0.09	4
37135	North Carolina	Orange	-1.29	1	-0.76	3	-0.33	2	-0.43	1	-0.46	2	0.00	46
37137	North Carolina	Pamlico	0.13	62	-0.05	49	-0.08	35	-0.13	11	0.05	65	-0.08	11
37139	North Carolina	Pasquotank	-0.15	43	-0.12	43	0.15	78	-0.05	33	0.12	74	-0.02	30
37141	North Carolina	Pender	0.28	71	-0.22	33	-0.12	31	0.01	56	-0.16	27	0.05	83
37143	North Carolina	Perquimans	-0.23	37	-0.18	37	-0.05	39	-0.01	45	0.07	70	-0.03	21
37145	North Carolina	Person	0.10	57	-0.16	39	0.02	56	-0.04	36	-0.08	45	0.03	73
37147	North Carolina	Pitt	-0.32	29	0.24	77	0.17	84	-0.11	12	0.04	64	0.02	63
37149	North Carolina	Polk	-0.56	12	-0.52	10	-0.32	4	-0.04	38	-0.36	5	-0.05	19
37151	North Carolina	Randolph	0.10	58	-0.22	34	0.09	70	0.02	57	-0.10	40	0.06	91
37153	North Carolina	Richmond	0.83	94	0.75	93	0.37	99	0.19	94	0.44	91	0.06	87
37155	North Carolina	Robeson	1.07	99	1.43	100	0.57	100	0.40	100	0.57	97	0.03	72
37157	North Carolina	Rockingham	0.31	73	0.08	65	0.10	71	0.06	72	0.05	66	0.06	88
37159	North Carolina	Rowan	0.34	77	-0.26	28	0.06	63	-0.01	48	0.02	61	0.05	85
37161	North Carolina	Rutherford	0.31	74	-0.04	53	-0.04	42	0.03	59	0.10	72	0.02	62
37163	North Carolina	Sampson	0.39	80	0.10	68	0.13	75	0.22	97	0.12	75	0.02	68
37165	North Carolina	Scotland	0.87	95	1.25	99	0.35	97	0.04	66	0.60	98	0.05	84
37167	North Carolina	Stanly	0.10	59	-0.22	35	-0.06	38	-0.02	43	-0.19	21	0.07	94
37169	North Carolina	Stokes	0.42	84	-0.38	18	-0.12	30	0.06	76	-0.03	56	0.01	54
37171	North Carolina	Surry	0.29	72	0.02	58	-0.02	49	0.08	81	-0.15	30	-0.02	32
37173	North Carolina	Swain	0.67	91	0.31	80	0.18	87	0.13	90	0.06	68	-0.01	40
37175	North Carolina	Transylvania	-0.41	20	-0.28	26	-0.27	9	-0.17	8	-0.14	32	-0.09	7
37177	North Carolina	Tyrrell	-0.09	46	0.39	83	0.14	76	0.08	82	0.51	94	-0.09	5
37179	North Carolina	Union	-0.93	4	-0.67	6	-0.27	8	-0.07	28	-0.44	3	0.06	89
37181	North Carolina	Vance	1.19	100	0.84	97	0.33	95	0.11	86	0.48	93	0.01	55
37183	North Carolina	Wake	-1.25	2	-0.81	2	-0.39	1	-0.23	3	-0.50	1	0.04	79
37185	North Carolina	Warren	0.26	68	0.80	94	0.23	89	0.27	98	0.45	92	0.02	65
37187	North Carolina	Washington	0.33	75	0.57	86	0.07	66	0.05	68	0.54	95	-0.01	42
37189	North Carolina	Watauga	-0.99	3	-0.10	45	-0.09	34	-0.10	18	-0.30	11	0.01	51
37191	North Carolina	Wayne	0.06	53	0.04	61	0.16	82	0.06	74	0.11	73	-0.01	43
37193	North Carolina	Wilkes	0.22	65	0.15	71	0.03	57	-0.03	39	-0.06	50	-0.02	33
37195	North Carolina	Wilson	0.37	79	0.34	81	0.07	65	0.05	67	0.39	90	0.03	69
37197	North Carolina	Yadkin	-0.18	39	0.08	64	-0.05	40	0.02	58	-0.16	26	0.03	70
37199	North Carolina	Yancey	-0.25	34	-0.12	42	-0.14	25	-0.02	42	-0.13	36	-0.07	15
